team_name,team_seed,region,r6,r6_low,r6_high,r6_path_alt,r6_path_low,r6_path_high,public_pct,public_pct_display,ownership_tier,conf_tier_r6,conf_type,floor_applied,path_dependent,data_source,ev_10,ev_low_10,ev_high_10,ev_path_alt_10,ev_25,ev_low_25,ev_high_25,ev_path_alt_25,ev_50,ev_low_50,ev_high_50,ev_path_alt_50,ev_100,ev_low_100,ev_high_100,ev_path_alt_100,ev_250,ev_low_250,ev_high_250,ev_path_alt_250,ev_500,ev_low_500,ev_high_500,ev_path_alt_500,ev_1000,ev_low_1000,ev_high_1000,ev_path_alt_1000,ev_5000,ev_low_5000,ev_high_5000,ev_path_alt_5000
Missouri,10,West,0.001638,0.0016,0.0016,0.001638,0.001638,0.001638,0.00192,0.192,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.016349,0.015969,0.015969,0.016349,0.040871,0.039923,0.039923,0.040871,0.081743,0.079846,0.079846,0.081743,0.163486,0.159693,0.159693,0.163486,0.408714,0.399232,0.399232,0.408714,0.817428,0.798464,0.798464,0.817428,1.634855,1.596928,1.596928,1.634855,8.174275,7.984640,7.984640,8.174275
Miami,7,West,0.001638,0.0,0.0079,0.001638,0.001638,0.001638,0.003578,0.3578,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.016321,0.000000,0.078717,0.016321,0.040803,0.000000,0.196793,0.040803,0.081607,0.000000,0.393587,0.081607,0.163214,0.000000,0.787173,0.163214,0.408035,0.000000,1.967933,0.408035,0.816070,0.000000,3.935867,0.816070,1.632139,0.000000,7.871734,1.632139,8.160696,0.000000,39.358669,8.160696
Santa Clara,10,Midwest,0.001595,0.0016,0.0016,0.001595,0.001595,0.001595,0.001885,0.1885,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.015920,0.015970,0.015970,0.015920,0.039800,0.039925,0.039925,0.039800,0.079600,0.079849,0.079849,0.079600,0.159199,0.159698,0.159698,0.159199,0.397998,0.399246,0.399246,0.397998,0.795997,0.798492,0.798492,0.795997,1.591993,1.596984,1.596984,1.591993,7.959967,7.984920,7.984920,7.959967
M-OH/SMU,11,Midwest,0.001595,0.0016,0.0016,0.001595,0.001595,0.001595,0.001885,0.1885,NEAR_ZERO,LOW,NA,N,N,r6-proportional estimate,0.015920,0.015970,0.015970,0.015920,0.039800,0.039925,0.039925,0.039800,0.079600,0.079849,0.079849,0.079600,0.159199,0.159698,0.159698,0.159199,0.397998,0.399246,0.399246,0.397998,0.795997,0.798492,0.798492,0.795997,1.591993,1.596984,1.596984,1.591993,7.959967,7.984920,7.984920,7.959967
Georgia,8,Midwest,0.001595,0.0,0.0078,0.001595,0.001595,0.001595,0.003578,0.3578,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.015893,0.000000,0.077721,0.015893,0.039732,0.000000,0.194302,0.039732,0.079465,0.000000,0.388605,0.079465,0.158929,0.000000,0.777209,0.158929,0.397323,0.000000,1.943023,0.397323,0.794647,0.000000,3.886046,0.794647,1.589293,0.000000,7.772092,1.589293,7.946465,0.000000,38.860458,7.946465
TCU,9,East,0.001526,0.0015,0.0015,0.001526,0.001526,0.001526,0.001827,0.1827,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.015232,0.014973,0.014973,0.015232,0.038080,0.037431,0.037431,0.038080,0.076161,0.074863,0.074863,0.076161,0.152321,0.149726,0.149726,0.152321,0.380803,0.374315,0.374315,0.380803,0.761606,0.748630,0.748630,0.761606,1.523212,1.497259,1.497259,1.523212,7.616060,7.486298,7.486298,7.616060
Saint Louis,9,Midwest,0.000957,0.001,0.001,0.000957,0.000957,0.000957,0.001318,0.1318,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.009557,0.009987,0.009987,0.009557,0.023893,0.024967,0.024967,0.023893,0.047787,0.049934,0.049934,0.047787,0.095574,0.099868,0.099868,0.095574,0.238935,0.249671,0.249671,0.238935,0.477869,0.499341,0.499341,0.477869,0.955739,0.998682,0.998682,0.955739,4.778693,4.993410,4.993410,4.778693
UCF,10,East,0.000915,0.0009,0.0009,0.000915,0.000915,0.000915,0.0012770000000000001,0.1277,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.009138,0.008989,0.008989,0.009138,0.022846,0.022471,0.022471,0.022846,0.045692,0.044943,0.044943,0.045692,0.091383,0.089885,0.089885,0.091383,0.228458,0.224713,0.224713,0.228458,0.456916,0.449425,0.449425,0.456916,0.913832,0.898851,0.898851,0.913832,4.569158,4.494254,4.494254,4.569158
McNeese,12,South,0.000897,0.0009,0.0009,0.000897,0.000897,0.000897,0.00126,0.126,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.008959,0.008989,0.008989,0.008959,0.022397,0.022472,0.022472,0.022397,0.044793,0.044943,0.044943,0.044793,0.089587,0.089887,0.089887,0.089587,0.223967,0.224716,0.224716,0.223967,0.447935,0.449433,0.449433,0.447935,0.895870,0.898866,0.898866,0.895870,4.479349,4.494330,4.494330,4.479349
Akron,12,Midwest,0.000797,0.0008,0.0008,0.000797,0.000797,0.000797,0.00116,0.116,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.007961,0.007991,0.007991,0.007961,0.019902,0.019977,0.019977,0.019902,0.039804,0.039954,0.039954,0.039804,0.079608,0.079907,0.079907,0.079608,0.199019,0.199768,0.199768,0.199019,0.398038,0.399536,0.399536,0.398038,0.796075,0.799072,0.799072,0.796075,3.980377,3.995360,3.995360,3.980377
Penn,14,South,0.000628,0.0006,0.0006,0.000628,0.000628,0.000628,0.000982,0.0982,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.006274,0.005994,0.005994,0.006274,0.015685,0.014985,0.014985,0.015685,0.031369,0.029971,0.029971,0.031369,0.062738,0.059941,0.059941,0.062738,0.156846,0.149853,0.149853,0.156846,0.313692,0.299705,0.299705,0.313692,0.627383,0.599411,0.599411,0.627383,3.136917,2.997054,2.997054,3.136917
