team_name,team_seed,region,round,vegas_prob,public_pick_pct,leverage,leverage_ratio,round_weighted_leverage,high_signal_flag,zero_ownership_flag,sign_flip_flag,prop_norm_caution_flag
VCU,11,South,r3,0.024157,0.014,0.010157,1.7255,0.4063,N,N,,N
VCU,11,South,r4,0.005603,0.003,0.002603,1.8677,0.2082,N,N,N,N
VCU,11,South,r5,0.0027,0.001,0.0017,2.7,0.272,N,N,,Y
VCU,11,South,r6,0.001795,0.0002,0.001595,8.975,0.5104,N,N,,Y
M-OH/SMU,11,Midwest,r1,0.2742,0.358,-0.0838,0.7659,-0.838,N,N,,N
M-OH/SMU,11,Midwest,r2,0.019543,0.055,-0.035457,0.3553,-0.7091,N,N,,N
M-OH/SMU,11,Midwest,r3,0.007967,0.017,-0.009033,0.4686,-0.3613,N,N,,N
M-OH/SMU,11,Midwest,r4,0.004665,0.005,-0.000335,0.933,-0.0268,N,N,N,N
M-OH/SMU,11,Midwest,r5,0.0031,0.001,0.0021,3.1,0.336,N,N,,Y
M-OH/SMU,11,Midwest,r6,0.001595,0.0002,0.001395,7.975,0.4464,N,N,,Y
Texas,11,West,r1,0.4279,0.379,0.0489,1.129,0.489,N,N,,N
Texas,11,West,r2,0.124874,0.061,0.063874,2.0471,1.2775,N,N,,N
Texas,11,West,r3,0.097491,0.021,0.076491,4.6424,3.0596,N,N,,N
Texas,11,West,r4,0.012091,0.006,0.006091,2.0152,0.4873,N,N,N,N
Texas,11,West,r5,0.004048,0.002,0.002048,2.024,0.3277,N,N,,Y
Texas,11,West,r6,0.002047,0.0003,0.001747,6.8233,0.559,N,N,,Y
Northern Iowa,12,East,r1,0.175,0.282,-0.107,0.6206,-1.07,Y,N,,N
Northern Iowa,12,East,r2,0.071483,0.041,0.030483,1.7435,0.6097,N,N,,N
Northern Iowa,12,East,r3,0.020901,0.011,0.009901,1.9001,0.396,N,N,,N
Northern Iowa,12,East,r4,0.003359,0.002,0.001359,1.6795,0.1087,N,N,N,N
Northern Iowa,12,East,r5,0.001979,0.001,0.000979,1.979,0.1566,N,N,,Y
Northern Iowa,12,East,r6,0.000381,0.0001,0.000281,3.81,0.0899,N,N,,Y
McNeese,12,South,r1,0.16,0.295,-0.135,0.5424,-1.35,Y,N,,N
McNeese,12,South,r2,0.041248,0.043,-0.001752,0.9593,-0.035,N,N,,N
McNeese,12,South,r3,0.014659,0.012,0.002659,1.2216,0.1064,N,N,,N
McNeese,12,South,r4,0.002801,0.003,-0.000199,0.9337,-0.0159,N,N,N,N
McNeese,12,South,r5,0.002045,0.001,0.001045,2.045,0.1672,N,N,,Y
McNeese,12,South,r6,0.000897,0.0001,0.000797,8.97,0.255,N,N,,Y
Akron,12,Midwest,r1,0.2591,0.255,0.0041,1.0161,0.041,N,N,,N
Akron,12,Midwest,r2,0.042868,0.034,0.008868,1.2608,0.1774,N,N,,N
Akron,12,Midwest,r3,0.015774,0.008,0.007774,1.9717,0.311,N,N,,N
Akron,12,Midwest,r4,0.001696,0.002,-0.000304,0.848,-0.0243,N,N,N,N
Akron,12,Midwest,r5,0.001085,0.001,8.5e-05,1.085,0.0136,N,N,,Y
Akron,12,Midwest,r6,0.000797,0.0001,0.000697,7.97,0.223,N,N,,Y
High Point,12,West,r1,0.2,0.186,0.014,1.0753,0.14,N,N,,N
High Point,12,West,r2,0.028226,0.021,0.007226,1.3441,0.1445,N,N,,N
High Point,12,West,r3,0.011994,0.005,0.006994,2.3988,0.2798,N,N,,N
High Point,12,West,r4,0.002144,0.001,0.001144,2.144,0.0915,N,N,N,N
High Point,12,West,r5,0.001376,0.0005,0.000876,2.752,0.1402,N,N,,Y
High Point,12,West,r6,0.000409,0.0001,0.000309,4.09,0.0989,N,N,,Y
CA Baptist,13,East,r1,0.113,0.179,-0.066,0.6313,-0.66,N,N,,N
CA Baptist,13,East,r2,0.040436,0.018,0.022436,2.2464,0.4487,N,N,,N
CA Baptist,13,East,r3,0.011307,0.004,0.007307,2.8267,0.2923,N,N,,N
CA Baptist,13,East,r4,0.00168,0.001,0.00068,1.68,0.0544,N,N,N,N
CA Baptist,13,East,r5,0.000707,0.0005,0.000207,1.414,0.0331,N,N,,Y
CA Baptist,13,East,r6,0.000381,0.0001,0.000281,3.81,0.0899,N,N,,Y
Troy,13,South,r1,0.1279,0.218,-0.0901,0.5867,-0.901,N,N,,N
